epsilon_cal,nominal_coverage,cal_size,certificate_width_tau_mean,observed_inflation_tau_grid_mean,avg_set_size_dp_cal_mean,test_coverage_dp_cal_mean,theorem_tau_ok_rate,theorem_idx_ok_rate,inflation_to_certificate_ratio_mean
8.0,0.65,2000,0.049999999999999996,0.023333333333333334,3.173133333333333,0.8178833333333334,1.0,1.0,0.47222222222222227
8.0,0.65,4000,0.02666666666666667,0.016666666666666666,3.1182,0.8129833333333334,1.0,1.0,0.6666666666666666
8.0,0.75,2000,0.07333333333333333,0.03333333333333333,3.9649,0.8681,1.0,1.0,0.47222222222222227
8.0,0.75,4000,0.043333333333333335,0.023333333333333334,3.9212666666666665,0.8649666666666667,1.0,1.0,0.5277777777777778
