file,alpha,coverage_target,delta,epsilon_train_target,epsilon_cal,num_bins,cal_size,train_size,seed,device,nominal_coverage,label_smoothing,np_accuracy,np_coverage,np_avg_set_size,np_tau,dp_accuracy,epsilon_train_realized,noise_multiplier,tau_nonprivate_cal,test_coverage_nonprivate_cal,dp_avg_set_size_nonprivate_cal,epsilon_total_basic_composition,beta,coverage_lower_bound_formal,tau_dp_cal,test_coverage_dp_cal,avg_set_size_dp_cal,lambda,noise_scale,k,coverage_bound_formal_ok,privacy_training_ok,coverage_empirical_ok,overall_formal_ok,overall_empirical_ok,tau_q_k,tau_q_kplus2lambda,certificate_width_tau,observed_inflation_tau_grid,observed_inflation_tau_exact,theorem_tau_ok,theorem_idx_ok,q_k_index,q_kplus2lambda_index,crossing_index_dp,empirical_margin_to_bound,empirical_margin_to_target,empirical_margin_to_nominal,inflation_to_certificate_ratio
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.95_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.050000000000000044,0.7,1e-05,4.0,2.0,50,2000,48000,1,cuda,0.95,0.5,0.731,0.9605,4.7387,0.5685551762580872,0.4845,3.9932332188719033,0.5584716796875,0.7671082615852356,0.9687,7.0816,5.993233218871904,0.001,0.949,1.0,1.0,10.0,270.4944571102571,25.0,1901,True,True,True,True,True,0.7799999713897705,1.0,0.22,0.22,0.2329,True,True,38,49,49,0.051000000000000045,0.30000000000000004,0.050000000000000044,1.0
report_traineps_4.0_caleps_2.0_calsize_2000_nomcov_0.95_target_0.7_beta_0.001_lsmooth_0.5_seed_2.json,0.050000000000000044,0.7,1e-05,4.0,2.0,50,2000,48000,2,cuda,0.95,0.5,0.7301,0.963,4.6309,0.5542703866958618,0.4783,3.9932332188719033,0.5584716796875,0.7727645635604858,0.9685,7.1671,5.993233218871904,0.001,0.949,1.0,1.0,10.0,270.4944571102571,25.0,1901,True,True,True,True,True,0.7799999713897705,1.0,0.22,0.22,0.2272,True,True,38,49,49,0.051000000000000045,0.30000000000000004,0.050000000000000044,1.0
report_traineps_4.0_caleps_4.0_calsize_1000_nomcov_0.85_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.15000000000000002,0.7,1e-05,4.0,4.0,50,1000,49000,0,cuda,0.85,0.5,0.7219,0.9271,2.8905,0.391106516122818,0.4815,3.991399689840786,0.5572509765625,0.6067318916320801,0.9277,5.3187,7.991399689840787,0.001,0.849,0.94,0.9988,9.6159,135.24722855512854,12.5,851,True,True,True,True,True,0.6200000047683716,1.0,0.38,0.32,0.3333,True,True,30,49,46,0.14980000000000004,0.29880000000000007,0.14880000000000004,0.8421052631578947
report_traineps_4.0_caleps_4.0_calsize_1000_nomcov_0.85_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.15000000000000002,0.7,1e-05,4.0,4.0,50,1000,49000,1,cuda,0.85,0.5,0.7337,0.9239,2.8145,0.3859959840774536,0.481,3.991399689840786,0.5572509765625,0.5531264543533325,0.9018,4.7259,7.991399689840787,0.001,0.849,0.82,0.9777,7.862,135.24722855512854,12.5,851,True,True,True,True,True,0.5600000023841858,1.0,0.44,0.26,0.2669,True,True,27,49,40,0.12870000000000004,0.27770000000000006,0.12770000000000004,0.5909090909090909
report_traineps_4.0_caleps_4.0_calsize_1000_nomcov_0.85_target_0.7_beta_0.001_lsmooth_0.5_seed_2.json,0.15000000000000002,0.7,1e-05,4.0,4.0,50,1000,49000,2,cuda,0.85,0.5,0.7242,0.9236,2.8409,0.3922061026096344,0.4768,3.991399689840786,0.5572509765625,0.5421780347824097,0.8979,4.6677,7.991399689840787,0.001,0.849,0.92,0.993,9.0181,135.24722855512854,12.5,851,True,True,True,True,True,0.5600000023841858,1.0,0.44,0.36,0.3778,True,True,27,49,45,0.14400000000000002,0.29300000000000004,0.14300000000000002,0.8181818181818181
report_traineps_4.0_caleps_4.0_calsize_1000_nomcov_0.95_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.050000000000000044,0.7,1e-05,4.0,4.0,50,1000,49000,0,cuda,0.95,0.5,0.7163,0.9717,5.3281,0.6225717067718506,0.4815,3.991399689840786,0.5572509765625,0.8447062969207764,0.9809,8.0533,7.991399689840787,0.001,0.949,1.0,1.0,10.0,135.24722855512854,12.5,951,True,True,True,True,True,0.8600000143051147,1.0,0.14,0.14,0.1553,True,True,42,49,49,0.051000000000000045,0.30000000000000004,0.050000000000000044,1.0
report_traineps_4.0_caleps_4.0_calsize_1000_nomcov_0.95_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.050000000000000044,0.7,1e-05,4.0,4.0,50,1000,49000,1,cuda,0.95,0.5,0.733,0.966,4.8707,0.5877166986465454,0.481,3.991399689840786,0.5572509765625,0.7689260244369507,0.9666,7.1053,7.991399689840787,0.001,0.949,1.0,1.0,10.0,135.24722855512854,12.5,951,True,True,True,True,True,0.7799999713897705,1.0,0.22,0.22,0.2311,True,True,38,49,49,0.051000000000000045,0.30000000000000004,0.050000000000000044,1.0
report_traineps_4.0_caleps_4.0_calsize_1000_nomcov_0.95_target_0.7_beta_0.001_lsmooth_0.5_seed_2.json,0.050000000000000044,0.7,1e-05,4.0,4.0,50,1000,49000,2,cuda,0.95,0.5,0.7273,0.9617,4.343,0.5384728908538818,0.4768,3.991399689840786,0.5572509765625,0.7926020622253418,0.9743,7.5404,7.991399689840787,0.001,0.949,1.0,1.0,10.0,135.24722855512854,12.5,951,True,True,True,True,True,0.800000011920929,1.0,0.2,0.2,0.2074,True,True,39,49,49,0.051000000000000045,0.30000000000000004,0.050000000000000044,1.0
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.85_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.15000000000000002,0.7,1e-05,4.0,4.0,50,2000,48000,0,cuda,0.85,0.5,0.7313,0.9233,2.9639,0.40155911445617676,0.4822,3.9932332188719033,0.5584716796875,0.5742694735527039,0.9084,4.9321,7.993233218871904,0.001,0.849,0.74,0.9609,6.8502,135.24722855512854,12.5,1701,True,True,True,True,True,0.5799999833106995,0.9599999785423279,0.38,0.16,0.1657,True,True,28,47,36,0.1119,0.2609,0.1109,0.42105263157894735
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.85_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.15000000000000002,0.7,1e-05,4.0,4.0,50,2000,48000,1,cuda,0.85,0.5,0.7323,0.9206,2.8542,0.38618233799934387,0.4845,3.9932332188719033,0.5584716796875,0.5309264659881592,0.8932,4.5277,7.993233218871904,0.001,0.849,0.64,0.9352,5.6813,135.24722855512854,12.5,1701,True,True,True,True,True,0.5400000214576721,0.9399999976158142,0.4,0.1,0.1091,True,True,26,46,31,0.08620000000000005,0.23520000000000008,0.08520000000000005,0.25
