file,alpha,coverage_target,delta,epsilon_train_target,epsilon_cal,num_bins,cal_size,train_size,seed,device,nominal_coverage,label_smoothing,np_accuracy,np_coverage,np_avg_set_size,np_tau,dp_accuracy,epsilon_train_realized,noise_multiplier,tau_nonprivate_cal,test_coverage_nonprivate_cal,dp_avg_set_size_nonprivate_cal,epsilon_total_basic_composition,beta,coverage_lower_bound_formal,tau_dp_cal,test_coverage_dp_cal,avg_set_size_dp_cal,lambda,noise_scale,k,coverage_bound_formal_ok,privacy_training_ok,coverage_empirical_ok,overall_formal_ok,overall_empirical_ok,tau_q_k,tau_q_kplus2lambda,certificate_width_tau,observed_inflation_tau_grid,observed_inflation_tau_exact,theorem_tau_ok,theorem_idx_ok,q_k_index,q_kplus2lambda_index,crossing_index_dp,empirical_margin_to_bound,empirical_margin_to_target,empirical_margin_to_nominal,inflation_to_certificate_ratio
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.25,0.7,1e-05,4.0,4.0,50,2000,48000,0,cuda,0.75,0.5,0.3912,0.7682,8.987,0.2116859257221222,0.1188,3.9932332188719033,0.5584716796875,0.4477212727069855,0.7577,33.7746,7.993233218871904,0.001,0.749,0.54,0.8193,42.5781,135.24722855512854,12.5,1501,True,True,True,True,True,0.46000000834465027,0.6800000071525574,0.22,0.08,0.0923,True,True,22,33,26,0.07030000000000003,0.11930000000000007,0.06930000000000003,0.36363636363636365
report_traineps_4.0_caleps_4.0_calsize_2000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.25,0.7,1e-05,4.0,4.0,50,2000,48000,1,cuda,0.75,0.5,0.3988,0.7855,9.4895,0.22074365615844727,0.126,3.9932332188719033,0.5584716796875,0.4227738678455353,0.744,31.3427,7.993233218871904,0.001,0.749,0.52,0.8127,40.4012,135.24722855512854,12.5,1501,True,True,True,True,True,0.4399999976158142,0.6600000262260437,0.22,0.08,0.0972,True,True,21,32,25,0.06369999999999998,0.11270000000000002,0.06269999999999998,0.36363636363636365
report_traineps_4.0_caleps_4.0_calsize_4000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.25,0.7,1e-05,4.0,4.0,50,4000,46000,0,cuda,0.75,0.5,0.3972,0.768,8.6057,0.20527218282222748,0.1151,3.995359909254509,0.5609130859375,0.44344890117645264,0.7543,33.4749,7.995359909254509,0.001,0.749,0.5,0.7929,38.7744,135.24722855512854,12.5,3001,True,True,True,True,True,0.46000000834465027,0.5400000214576721,0.08,0.04,0.0566,True,True,22,26,24,0.04390000000000005,0.0929000000000001,0.04290000000000005,0.5
report_traineps_4.0_caleps_4.0_calsize_4000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.25,0.7,1e-05,4.0,4.0,50,4000,46000,1,cuda,0.75,0.5,0.397,0.7762,9.2638,0.21474260091781616,0.1217,3.995359909254509,0.5609130859375,0.43793240189552307,0.7533,32.9561,7.995359909254509,0.001,0.749,0.5,0.7981,38.7432,135.24722855512854,12.5,3001,True,True,True,True,True,0.4399999976158142,0.5400000214576721,0.1,0.06,0.0621,True,True,21,26,24,0.04910000000000003,0.09810000000000008,0.04810000000000003,0.6
report_traineps_4.0_caleps_8.0_calsize_2000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.25,0.7,1e-05,4.0,8.0,50,2000,48000,0,cuda,0.75,0.5,0.3931,0.76,8.3222,0.20247115194797516,0.1188,3.9932332188719033,0.5584716796875,0.4477212727069855,0.7577,33.7746,11.993233218871904,0.001,0.749,0.5,0.795,38.6871,67.62361427756427,6.25,1501,True,True,True,True,True,0.46000000834465027,0.5400000214576721,0.08,0.04,0.0523,True,True,22,26,24,0.04600000000000004,0.09500000000000008,0.04500000000000004,0.5
report_traineps_4.0_caleps_8.0_calsize_2000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.25,0.7,1e-05,4.0,8.0,50,2000,48000,1,cuda,0.75,0.5,0.4029,0.7667,8.2308,0.1983109712600708,0.126,3.9932332188719033,0.5584716796875,0.4227738678455353,0.744,31.3427,11.993233218871904,0.001,0.749,0.48,0.7882,36.5978,67.62361427756427,6.25,1501,True,True,True,True,True,0.4399999976158142,0.5199999809265137,0.08,0.04,0.0572,True,True,21,25,23,0.03920000000000001,0.08820000000000006,0.03820000000000001,0.5
report_traineps_4.0_caleps_8.0_calsize_4000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_0.json,0.25,0.7,1e-05,4.0,8.0,50,4000,46000,0,cuda,0.75,0.5,0.3925,0.7692,8.8064,0.20599693059921265,0.1151,3.995359909254509,0.5609130859375,0.44344890117645264,0.7543,33.4749,11.995359909254509,0.001,0.749,0.48,0.7804,36.8802,67.62361427756427,6.25,3001,True,True,True,True,True,0.46000000834465027,0.5,0.04,0.02,0.0366,True,True,22,24,23,0.031399999999999983,0.08040000000000003,0.030399999999999983,0.5
report_traineps_4.0_caleps_8.0_calsize_4000_nomcov_0.75_target_0.7_beta_0.001_lsmooth_0.5_seed_1.json,0.25,0.7,1e-05,4.0,8.0,50,4000,46000,1,cuda,0.75,0.5,0.3953,0.7754,9.1031,0.21089544892311096,0.1217,3.995359909254509,0.5609130859375,0.43793240189552307,0.7533,32.9561,11.995359909254509,0.001,0.749,0.46,0.7703,34.9806,67.62361427756427,6.25,3001,True,True,True,True,True,0.4399999976158142,0.5,0.06,0.02,0.0221,True,True,21,24,22,0.021299999999999986,0.07030000000000003,0.020299999999999985,0.33333333333333337
